detail_link,Tiêu đề,Địa chỉ,Hướng nhà,Hướng ban công,Diện tích (m2),Mức giá,Số phòng ngủ (phòng),Số phòng tắm (phòng),Mặt tiền (m),Đường vào (m),Pháp lý,Nội thất,Nội thất đầy đủ,Số tầng (tầng),Nội thất cơ bản,Nội thất trống,Mức giá (VNĐ),Quận/Huyện
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-da-ton-prj-the-sapphire-2-vinhomes-ocean-park/chinh-chu-ban-goc-2pn-1-2wc-toa-s2-12-gia-2-9-ty-lh-pr41028789,"Chính chủ cần bán căn góc 2PN + 1, 2WC tòa S2 Vinhomes Ocean Park giá 3,45 tỷ LH 0986 784 ***","Dự án The Sapphire 2 - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội",,,67.9,"{'value': 3450000000.0, 'unit': 'VNĐ'}",2.0,2.0,,,Sổ đỏ/ Sổ hồng,Đầy đủ,True,,,,3450000000.0,Gia Lâm
https://batdongsan.com.vn/ban-nha-rieng-duong-tay-son-phuong-thinh-quang/ban-148m2-mat-tien-8m-4-tang-can-goc-3-mat-thoang-cuc-dep-ngo-oto-sdcc-pr42924255,Bán nhà Tây Sơn - Thịnh Quang 148m2*Mặt tiền 8m*4 tầng. Căn góc 3 mặt thoáng cực đẹp. Ngõ ôtô. SĐCC,"Đường Tây Sơn, Phường Thịnh Quang, Đống Đa, Hà Nội",Đông - Bắc,Đông - Bắc,98.0,"{'value': 18900000000.0, 'unit': 'VNĐ'}",6.0,4.0,8.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản,,4.0,True,,18900000000.0,Đống Đa
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-sieu-dep-tu-studio-1pn-2-3pn-tai-vin-ocp-phap-ly-chuan-chi-tot-va-mien-phi-mg-pr43119455,"Quỹ căn siêu đẹp từ studio/1PN - 2 - 3PN tại Vin OCP, pháp lý chuẩn chỉ, giá tốt và miễn phí MG","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",,,43.0,"{'value': 2340000000.0, 'unit': 'VNĐ'}",1.0,1.0,,,Sổ đỏ/ Sổ hồng,,,,,,2340000000.0,Gia Lâm
https://batdongsan.com.vn/ban-nha-mat-pho-duong-an-duong-vuong-phuong-phu-thuong-1/chinh-chu-toi-b-gap-mp-tay-ho-lo-goc-123m2-5-tg-thg-may-dong-tien-720tr-nam-pr42985547,"Chính chủ tôi bán gấp MP An Dương Vương, Tây Hồ. Lô góc 123m2*5 tầng thang máy. Dòng tiền 720tr/năm","Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",Bắc,Bắc,123.0,"{'value': 34299999999.999996, 'unit': 'VNĐ'}",5.0,5.0,6.2,11.0,Sổ đỏ/ Sổ hồng,Đầy đủ,True,5.0,,,34300000000.0,Tây Hồ
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-view-dep-chinh-chu-ban-cat-lo-tu-300tr-so-do-chinh-chu-mien-phi-mg-tro-vay-toi-70-pr39114589,"Quỹ căn stu, 1 - 3PN Vin OCP chính chủ view đẹp giá rẻ, pháp lý rõ ràng miễn phí MG, HT vay 80%","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",,,59.0,"{'value': 2700000000.0, 'unit': 'VNĐ'}",2.0,1.0,,,Sổ đỏ/ Sổ hồng,,,,,,2700000000.0,Gia Lâm
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-da-ton-prj-the-paris-vinhomes-ocean-park/ban-2n2wc-2-ban-cong-gia-tot-ck-cao-nhat-tt-gian-2-nam-chi-2-5-pr3-vin-1-pr42980025,"Căn 2n2wc Full giá chỉ 3,5 tỷ 60m2 t.thủy TT giãn 2 năm. Tòa PR6 Vinhomes Paris Vin Ocean Park 1.","Dự án The Paris - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội",,,60.0,"{'value': 3500000000.0, 'unit': 'VNĐ'}",2.0,2.0,,,Sổ đỏ/ Sổ hồng,,,,,,3500000000.0,Gia Lâm
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ho-tung-mau-phuong-phu-dien-prj-goldmark-city/tong-p-60-loai-2-3-4-pn-dang-co-nhu-cau-ban-chu-nha-thien-chi-gap-khach-pr39668261,Tổng hợp quỹ căn hộ chuyển nhượng tại Goldmark City đầy đủ 2 PN - 3 PN & 4 PN giá tốt nhất,"Goldmark City, 136, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",Tây - Bắc,Đông - Nam,93.0,"{'value': 5900000000.0, 'unit': 'VNĐ'}",2.0,2.0,,,Sổ đỏ/ Sổ hồng,Đầy đủ,True,,,,5900000000.0,Bắc Từ Liêm
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-chu-nha-ban-gap-re-nhat-thi-truong-tro-vay-bank-80-pr42979159,Quỹ căn chủ nhà bán gấp giá rẻ nhất thị trường. Hỗ trợ vay bank 80%,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",,,54.0,"{'value': 2750000000.0, 'unit': 'VNĐ'}",2.0,1.0,,,Sổ đỏ/ Sổ hồng,Đầy đủ,True,,,,2750000000.0,Gia Lâm
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-stu-1-3pn-vin-ocp-chinh-chu-view-dep-re-phap-ly-ro-rang-mien-phi-mg-ht-vay-80-pr42814865,"BẢNG GIÁ CĂN HỘ ST-1-3PN Vin OCP chính chủ view đẹp giá rẻ, pháp lý rõ ràng miễn phí MG, HT vay 80%","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",,,59.0,"{'value': 2600000000.0, 'unit': 'VNĐ'}",2.0,1.0,,,Sổ đỏ/ Sổ hồng,,,,,,2600000000.0,Gia Lâm
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/toi-chinh-chu-ban-8-1pn-2-7ty-2pn-3-4ty-2pn-goc-3-95ty-3pn-goc-4-55ty-vinmes-city-pr43068745,"Tôi chính chủ bán 8 căn hộ 1PN 2,7tỷ, 2PN 3.4tỷ, 2PN góc 3,95tỷ, 3PN góc 4.55tỷ Vinhomes Smart City","The Sapphire-Vinhomes Smart City, Tây Mỗ, Nam Từ Liêm, Hà Nội",,Đông - Nam,75.0,"{'value': 4550000000.0, 'unit': 'VNĐ'}",3.0,2.0,,,Sổ đỏ/ Sổ hồng,Full nội thất đẹp,,,,,4550000000.0,Nam Từ Liêm
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/duy-nhat-can-96m2-gian-xay-gan-cong-vien-gia-re-khu-mo-vin-dan-phuong-gia-15-8-ty-pr43112494,"Duy nhất căn 96m2 giãn xây gần công viên. Giá rẻ khu mở Vin Đan Phượng. Giá 15,8 tỷ","Vinhomes Wonder City, Tân Hội, Đan Phượng, Hà Nội",,,96.0,"{'value': 15800000000.0, 'unit': 'VNĐ'}",,,,,,,,,,,15800000000.0,Đan Phượng
https://batdongsan.com.vn/ban-can-ho-chung-cu-thi-tran-trau-quy-prj-masteri-lakeside/top-3-co-don-gia-re-nhat-hien-tai-phan-khu-chu-dau-tu-masteries-me-pr42893748,Top 3 căn hộ có đơn giá rẻ nhất hiện tại phân khu LakeSide chủ đầu tư Masteries Home : 0333 673 ***,"Masteri Lakeside, Trâu Quỳ, Gia Lâm, Hà Nội",,Đông - Nam,62.0,"{'value': 4150000000.0000005, 'unit': 'VNĐ'}",2.0,2.0,,,Hợp đồng mua bán,,,,,,4150000000.000001,Gia Lâm
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/-120-m2-vi-tri-dep-hiem-co-cong-vien-ben-tai-dan-phuong-wdc-gia-chi-19-9-ty-pr43052117,"Liền kề 120 m2 vị trí đẹp hiếm có, công viên kề bên tại Vinhomes Đan Phượng (WDC), giá chỉ 19 tỷ","Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội",Đông - Nam,,120.0,"{'value': 19000000000.0, 'unit': 'VNĐ'}",,,,,,,,,,,19000000000.0,Đan Phượng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/nhung-can-96m-hon-15-ty-duy-nhat-con-lai-gan-cong-vien-ven-song-gia-tot-nhat-ket-ban-zalo-gui-ptg-pr43101468,Những căn 96m2 hơn 15 tỷ duy nhất còn lại gần công viên ven sông giá tốt nhất. Kết bạn zalo gửi PTG,"Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội",,,96.0,"{'value': 15000000000.0, 'unit': 'VNĐ'}",,,8.0,,Hợp đồng mua bán,,,,,,15000000000.0,Đan Phượng
